season,race,driver,fp2_mean_lap,fp2_std_lap,fp2_best_lap,fp2_laps_count,best_quali_lap,best_quali_lap_number,best_quali_compound,fp2_deg_slope,dnf,score,win_prob
2024,Azerbaijan Grand Prix,BOT,0.5454733614229678,0.36106462994760846,0.32635379870683323,1.2164388608985446,0.9503729974360465,-1.1706498973120463,SOFT,0.275783765898612,1,0.005983653,0.04969549924135208
2024,Azerbaijan Grand Prix,COL,-0.12302913326653529,-0.1190394784646295,0.2753167146345195,0.28071666020735697,-0.3499521290074878,0.025634669284205453,SOFT,-0.048347325884382314,1,0.001048214,0.04945083335042
2024,Azerbaijan Grand Prix,GAS,-0.28129969252759046,0.022621759150780543,1.185478047257428,-0.6550055404838308,0.3484757773355425,-0.8288543068559744,SOFT,1.0968741916209452,1,0.00039462151,0.04941852390766144
2024,Azerbaijan Grand Prix,HAM,-0.39305078975216884,0.706439954939948,-1.4245017243294185,-2.058588841520612,-0.5589126733442632,1.392817031108493,SOFT,2.9735783250461143,1,0.016471798,0.05021945387125015
2024,Azerbaijan Grand Prix,HUL,-0.028155384299429435,0.07327574984663812,-0.11313220302696618,0.28071666020735697,0.3632392940549948,-0.9997521020840103,SOFT,0.0590981870355875,1,0.0006597397,0.04943162947893143
2024,Azerbaijan Grand Prix,LEC,0.9980012440439753,0.9481431440683133,-1.518069711795327,-0.6550055404838308,-1.6082580155572226,1.0510214406524212,SOFT,-1.6273043986163533,1,0.024212167,0.05060968175530434
2024,Azerbaijan Grand Prix,NOR,-0.16130606214466156,0.04577009124647297,0.8523193040076155,1.2164388608985446,0.9401521012456603,-1.5124454877681182,SOFT,0.031900079920917444,1,0.0009820159,0.04944755882024765
2024,Azerbaijan Grand Prix,OCO,0.6885226809799879,0.6248097300492267,1.7794929979879417,0.28071666020735697,1.9565634446229359,-1.3415476925400822,SOFT,0.2780124313142349,1,0.0020982,0.04950278624892235
2024,Azerbaijan Grand Prix,PER,-0.34648386552994265,-0.03198324355399992,-1.5095635311166082,0.28071666020735697,-1.0994845163024496,0.1965324645122414,SOFT,0.10337684618739773,1,0.048719484,0.051865313202142715
2024,Azerbaijan Grand Prix,PIA,-1.6263522699024702,-1.7414114727481294,-0.8106390186818805,-0.6550055404838308,-1.2437127181001117,0.8801236454243853,SOFT,-0.8965399696988108,1,0.070784375,0.05302243307232857
2024,Azerbaijan Grand Prix,RIC,-1.098610944787941,-1.5297637795830195,0.7105496260289594,-0.18714444013823686,0.8697414830452268,-0.9997521020840103,SOFT,-0.7239668155426198,1,0.0014203537,0.049469243735075
2024,Azerbaijan Grand Prix,RUS,-2.1274942429603927,-2.6505331227186186,-0.026652699459983383,-2.526449941866206,-1.0302095532342865,1.0510214406524212,SOFT,-0.6815260210207958,1,0.008728283,0.04983207955956459
2024,Azerbaijan Grand Prix,SAI,0.6861742281128614,0.9193227121009511,-0.8574230124148348,-0.18714444013823686,-1.1085697573605653,1.563714826336529,SOFT,0.3658364398477833,1,0.005046659,0.049648962914943695
2024,Azerbaijan Grand Prix,STR,1.1555046355815346,0.6568512645211934,-0.654692372905373,0.28071666020735697,0.6687305246343127,-0.9997521020840103,SOFT,-0.1327526573387733,1,0.002672031,0.04953119531273842
2024,Azerbaijan Grand Prix,TSU,-1.0674188361725285,-0.8731556675032126,0.12787624953673093,-0.6550055404838308,0.2882860553254954,0.3674302597402774,SOFT,-1.0584403859969533,0,0.0028144817,0.0495382584631443
2024,Azerbaijan Grand Prix,VER,1.4457661383073759,1.3076823369617283,-0.7454249668117152,0.7485777605529508,-0.8609969385267857,1.0510214406524212,SOFT,1.1412446313841136,1,0.003214386,0.049558065831661224
2024,Azerbaijan Grand Prix,ZHO,1.6758917135204716,0.7253064495543117,1.9737174568186846,0.7485777605529508,1.6635644204985292,-0.6579565116279383,SOFT,-0.844764891935952,1,0.0018967828,0.049492817372083664
2024,Bahrain Grand Prix,ALB,0.13349769889256793,-0.8716570872242623,-0.016430507015931316,0.2837401532675119,0.34632680623159473,-0.06520441788243639,SOFT,-2.0711022676855433,1,0.0014843993,0.04829155281186104
2024,Bahrain Grand Prix,ALO,-0.39926952585365116,-0.0038919974665961223,-1.0952335530376545,-1.9861810728725833,-0.8291588295157097,0.36949170133380516,SOFT,1.6426217642425984,1,0.04121363,0.05024876073002815
2024,Bahrain Grand Prix,BOT,-0.20218392322898673,-0.7828536007007286,1.0543576575346125,-0.2837401532675119,1.2725194647364577,-1.369292775531161,SOFT,0.0015971703608379077,1,0.00020519817,0.04822981730103493
2024,Bahrain Grand Prix,GAS,1.6301370168253868,0.7509295577751126,0.974208842822728,0.2837401532675119,1.6049101010596885,-0.7172485967067987,SOFT,-0.8169506468835904,1,0.0015456784,0.048294514417648315
2024,Bahrain Grand Prix,HAM,-2.0854171997121034,-2.1594034136267695,-1.553684773189532,-0.8512204598025357,-0.538317022732886,1.2388839397662883,SOFT,0.010168173499942711,1,0.10557248,0.053589049726724625
2024,Bahrain Grand Prix,HUL,-0.8572054847080477,-0.19762800491523932,-0.7361668631284876,-1.4187007663375595,-0.29421764918299537,-0.06520441788243639,SOFT,1.6664378341663244,1,0.0013400008,0.04828457906842232
