season,race,driver,fp2_mean_lap,fp2_std_lap,fp2_best_lap,fp2_laps_count,best_quali_lap,best_quali_lap_number,best_quali_compound,fp2_deg_slope,position,win,dnf
2022,Azerbaijan Grand Prix,TSU,120.95833333333331,16.532040764325902,104.567,21,103.056,21,SOFT,3.3718639249639257,13,0,1
2022,Azerbaijan Grand Prix,VER,118.63807142857142,14.906148996893275,103.58,14,101.706,18,SOFT,0.135714285714287,1,1,1
2022,Azerbaijan Grand Prix,VET,117.3076818181818,13.737111567839603,104.781,22,103.091,16,SOFT,-0.687184523809524,6,0,1
2022,Azerbaijan Grand Prix,ZHO,119.33757894736844,14.026841971796584,105.264,19,103.777,4,SOFT,1.0784476190476182,16,0,1
2022,Bahrain Grand Prix,ALB,109.29261111111111,15.001591288687026,94.735,18,92.664,12,SOFT,2.745229761904764,13,0,1
2022,Bahrain Grand Prix,ALO,104.7834285714286,12.075019480611315,92.877,21,91.621,10,SOFT,0.3110333333333335,9,0,1
2022,Bahrain Grand Prix,BOT,107.36572,15.240181381575924,92.951,25,91.56,14,SOFT,0.271970634920635,6,0,1
2022,Bahrain Grand Prix,GAS,105.67828571428572,13.363831427187552,93.621,21,91.635,14,SOFT,-0.641433333333332,8,0,1
2022,Bahrain Grand Prix,HAM,105.24065,12.263078579193468,93.144,20,91.048,10,SOFT,2.740517482517482,3,0,1
2022,Bahrain Grand Prix,HUL,105.6762,12.447100632945276,94.061,25,92.777,5,SOFT,0.9064738095238086,17,0,1
2022,Bahrain Grand Prix,LAT,108.21624,15.924771718091703,94.486,25,93.634,4,SOFT,3.052355494505495,16,0,1
2022,Bahrain Grand Prix,LEC,109.69393333333332,16.388811812883056,92.023,15,90.558,14,SOFT,,1,1,1
2022,Bahrain Grand Prix,MAG,108.3488888888889,17.72457024415174,93.183,18,91.461,8,SOFT,-0.4424880952380968,5,0,1
2022,Bahrain Grand Prix,MSC,109.3144761904762,17.69458149722408,93.085,21,91.998,8,SOFT,1.2639849567099573,11,0,1
2022,Bahrain Grand Prix,NOR,105.86166666666666,13.00438928464796,93.28,24,92.008,13,SOFT,1.7387492647058815,15,0,1
2022,Bahrain Grand Prix,OCO,104.6315238095238,12.43766543455422,93.36,21,91.782,8,SOFT,0.3303000000000005,7,0,1
2022,Bahrain Grand Prix,PER,106.17611764705882,13.523344611644491,92.958,17,90.921,17,SOFT,-0.3713515151515145,3,0,1
2022,Bahrain Grand Prix,RIC,107.1129,11.028632527803865,94.166,10,92.945,7,SOFT,-0.3134285714285733,14,0,1
2022,Bahrain Grand Prix,RUS,104.321,12.33464435089873,92.529,20,91.252,10,SOFT,1.6765363636363648,4,0,1
2022,Bahrain Grand Prix,SAI,107.12529411764706,15.55625372545036,92.52,17,90.687,11,SOFT,0.3161857142857154,2,0,1
2022,Bahrain Grand Prix,STR,109.1937619047619,16.294561528021436,93.958,21,93.032,5,SOFT,0.4203166666666676,12,0,1
2022,Bahrain Grand Prix,TSU,108.31913043478262,15.883770523010837,93.789,23,92.75,7,SOFT,0.7456190476190474,8,0,1
2022,Bahrain Grand Prix,VER,101.116125,10.211400856395755,91.936,16,90.681,13,SOFT,-0.3692000000000009,13,0,1
2022,Bahrain Grand Prix,ZHO,108.48856521739133,16.472016653116683,93.953,23,92.387,11,SOFT,1.1879635281385288,10,0,1
2022,Belgian Grand Prix,ALB,120.98072727272728,13.99183796426266,107.52,11,105.672,5,SOFT,,10,0,1
2022,Belgian Grand Prix,ALO,121.45808333333332,14.797095203010953,106.975,12,105.368,15,SOFT,2.0986511627906994,6,0,1
