season,race,driver,best_quali_lap,best_quali_lap_number,best_quali_compound
2024,Dutch Grand Prix,GAS,70.815,13,SOFT
2024,Dutch Grand Prix,HAM,70.948,12,SOFT
2024,Dutch Grand Prix,HUL,71.215,16,SOFT
2024,Dutch Grand Prix,LEC,70.582,23,SOFT
2024,Dutch Grand Prix,MAG,71.295,11,SOFT
2024,Dutch Grand Prix,NOR,69.673,13,SOFT
2024,Dutch Grand Prix,OCO,71.995,8,SOFT
2024,Dutch Grand Prix,PER,70.416,16,SOFT
2024,Dutch Grand Prix,PIA,70.172,15,SOFT
2024,Dutch Grand Prix,RIC,71.943,8,SOFT
2024,Dutch Grand Prix,RUS,70.244,17,SOFT
2024,Dutch Grand Prix,SAI,70.914,17,SOFT
2024,Dutch Grand Prix,STR,70.661,15,SOFT
2024,Dutch Grand Prix,TSU,70.955,14,SOFT
2024,Dutch Grand Prix,VER,70.029,13,SOFT
2024,Dutch Grand Prix,ZHO,73.261,8,SOFT
2024,Emilia Romagna Grand Prix,ALB,76.2,11,SOFT
2024,Emilia Romagna Grand Prix,ALO,76.917,2,SOFT
2024,Emilia Romagna Grand Prix,BOT,76.626,5,SOFT
2024,Emilia Romagna Grand Prix,GAS,76.015,5,SOFT
2024,Emilia Romagna Grand Prix,HAM,75.504,19,SOFT
2024,Emilia Romagna Grand Prix,HUL,75.569,14,SOFT
2024,Emilia Romagna Grand Prix,LEC,74.97,20,SOFT
2024,Emilia Romagna Grand Prix,MAG,76.854,5,SOFT
2024,Emilia Romagna Grand Prix,NOR,74.837,18,SOFT
2024,Emilia Romagna Grand Prix,OCO,75.906,14,SOFT
2024,Emilia Romagna Grand Prix,PER,75.706,9,SOFT
2024,Emilia Romagna Grand Prix,PIA,74.82,14,SOFT
2024,Emilia Romagna Grand Prix,RIC,75.674,14,SOFT
2024,Emilia Romagna Grand Prix,RUS,75.234,17,SOFT
2024,Emilia Romagna Grand Prix,SAI,75.233,19,SOFT
2024,Emilia Romagna Grand Prix,SAR,76.731,7,SOFT
2024,Emilia Romagna Grand Prix,STR,75.992,14,SOFT
2024,Emilia Romagna Grand Prix,TSU,75.358,8,SOFT
2024,Emilia Romagna Grand Prix,VER,74.746,17,SOFT
2024,Emilia Romagna Grand Prix,ZHO,76.834,8,SOFT
2024,Hungarian Grand Prix,ALB,76.429,15,SOFT
2024,Hungarian Grand Prix,ALO,76.043,15,SOFT
2024,Hungarian Grand Prix,BOT,76.384,18,SOFT
2024,Hungarian Grand Prix,GAS,78.166,5,SOFT
2024,Hungarian Grand Prix,HAM,75.854,20,SOFT
2024,Hungarian Grand Prix,HUL,76.317,15,SOFT
2024,Hungarian Grand Prix,LEC,75.891,15,SOFT
2024,Hungarian Grand Prix,MAG,76.548,14,SOFT
2024,Hungarian Grand Prix,NOR,75.227,17,SOFT
2024,Hungarian Grand Prix,OCO,78.049,5,SOFT
2024,Hungarian Grand Prix,PER,77.886,2,SOFT
2024,Hungarian Grand Prix,PIA,75.249,18,SOFT
2024,Hungarian Grand Prix,RIC,76.202,11,SOFT
2024,Hungarian Grand Prix,RUS,77.968,8,SOFT
2024,Hungarian Grand Prix,SAI,75.696,24,SOFT
2024,Hungarian Grand Prix,SAR,76.543,12,SOFT
2024,Hungarian Grand Prix,STR,76.075,15,SOFT
2024,Hungarian Grand Prix,TSU,76.121,14,SOFT
2024,Hungarian Grand Prix,VER,75.273,20,SOFT
2024,Hungarian Grand Prix,ZHO,78.037,11,SOFT
2024,Italian Grand Prix,ALB,80.299,17,SOFT
2024,Italian Grand Prix,ALO,80.421,10,SOFT
2024,Italian Grand Prix,BOT,81.101,2,SOFT
2024,Italian Grand Prix,COL,81.061,2,SOFT
2024,Italian Grand Prix,GAS,80.738,11,SOFT
2024,Italian Grand Prix,HAM,79.513,17,SOFT
2024,Italian Grand Prix,HUL,80.339,17,SOFT
2024,Italian Grand Prix,LEC,79.461,20,SOFT
2024,Italian Grand Prix,MAG,80.698,7,SOFT
2024,Italian Grand Prix,NOR,79.327,11,SOFT
2024,Italian Grand Prix,OCO,80.764,5,SOFT
2024,Italian Grand Prix,PER,80.062,14,SOFT
2024,Italian Grand Prix,PIA,79.436,15,SOFT
2024,Italian Grand Prix,RIC,80.479,11,SOFT
2024,Italian Grand Prix,RUS,79.44,17,SOFT
2024,Italian Grand Prix,SAI,79.467,17,SOFT
2024,Italian Grand Prix,STR,81.013,2,SOFT
2024,Italian Grand Prix,TSU,80.945,5,SOFT
2024,Italian Grand Prix,VER,79.662,11,SOFT
2024,Italian Grand Prix,ZHO,81.445,8,SOFT
2024,Japanese Grand Prix,ALB,89.714,8,SOFT
2024,Japanese Grand Prix,ALO,88.686,11,SOFT
2024,Japanese Grand Prix,BOT,89.593,11,SOFT
2024,Japanese Grand Prix,GAS,90.119,5,SOFT
2024,Japanese Grand Prix,HAM,88.766,11,SOFT
2024,Japanese Grand Prix,HUL,89.494,11,SOFT
2024,Japanese Grand Prix,LEC,88.786,11,SOFT
2024,Japanese Grand Prix,MAG,90.131,8,SOFT
2024,Japanese Grand Prix,NOR,88.489,9,SOFT
2024,Japanese Grand Prix,OCO,89.811,5,SOFT
2024,Japanese Grand Prix,PER,88.263,11,SOFT
2024,Japanese Grand Prix,PIA,88.76,8,SOFT
2024,Japanese Grand Prix,RIC,89.472,11,SOFT
2024,Japanese Grand Prix,RUS,89.008,11,SOFT
2024,Japanese Grand Prix,SAI,88.682,8,SOFT
2024,Japanese Grand Prix,SAR,90.139,5,SOFT
2024,Japanese Grand Prix,STR,90.024,2,SOFT
2024,Japanese Grand Prix,TSU,89.413,17,SOFT
2024,Japanese Grand Prix,VER,88.197,11,SOFT
2024,Japanese Grand Prix,ZHO,90.143,5,SOFT
2024,Las Vegas Grand Prix,ALB,94.425,5,SOFT
2024,Las Vegas Grand Prix,ALO,94.258,5,SOFT
2024,Las Vegas Grand Prix,BOT,94.43,7,SOFT
2024,Las Vegas Grand Prix,COL,93.746,9,SOFT
2024,Las Vegas Grand Prix,GAS,92.664,24,SOFT
2024,Las Vegas Grand Prix,HAM,92.567,17,SOFT
2024,Las Vegas Grand Prix,HUL,93.062,16,SOFT
2024,Las Vegas Grand Prix,LAW,94.087,9,SOFT
2024,Las Vegas Grand Prix,LEC,92.783,22,SOFT
2024,Las Vegas Grand Prix,MAG,93.297,11,SOFT
2024,Las Vegas Grand Prix,NOR,93.008,19,SOFT
2024,Las Vegas Grand Prix,OCO,93.221,17,SOFT
2024,Las Vegas Grand Prix,PER,94.155,9,SOFT
2024,Las Vegas Grand Prix,PIA,93.024,13,SOFT
2024,Las Vegas Grand Prix,RUS,92.312,24,SOFT
2024,Las Vegas Grand Prix,SAI,92.41,23,SOFT
2024,Las Vegas Grand Prix,STR,94.484,2,SOFT
2024,Las Vegas Grand Prix,TSU,93.029,24,SOFT
2024,Las Vegas Grand Prix,VER,92.797,20,SOFT
2024,Las Vegas Grand Prix,ZHO,93.566,16,SOFT
2024,Mexico City Grand Prix,ALB,76.988,11,SOFT
2024,Mexico City Grand Prix,ALO,77.168,10,SOFT
2024,Mexico City Grand Prix,BOT,77.393,8,SOFT
2024,Mexico City Grand Prix,COL,77.558,5,SOFT
2024,Mexico City Grand Prix,GAS,76.892,17,SOFT
2024,Mexico City Grand Prix,HAM,76.651,15,SOFT
2024,Mexico City Grand Prix,HUL,76.995,11,SOFT
2024,Mexico City Grand Prix,LAW,77.162,8,SOFT
2024,Mexico City Grand Prix,LEC,76.265,20,SOFT
