season,race,driver,fp2_mean_lap,fp2_std_lap,fp2_best_lap,fp2_laps_count,best_quali_lap,best_quali_lap_number,best_quali_compound,fp2_deg_slope,dnf
2024,Canadian Grand Prix,HUL,94.26094118,12.13796261,77.903,17,73.978,9,SOFT,2.436334199,1
2024,Canadian Grand Prix,LEC,93.41145,15.07482028,76.556,20,72.691,20,SOFT,-1.213147602,1
2024,Canadian Grand Prix,MAG,91.22338462,19.06033489,76.773,13,72.916,13,SOFT,-1.160818182,1
2024,Canadian Grand Prix,NOR,94.45161111,13.87131701,80.843,18,72.021,22,SOFT,1.761873626,1
2024,Canadian Grand Prix,OCO,90.17285714,13.59261752,77.417,28,73.435,8,SOFT,0.368564835,1
2024,Canadian Grand Prix,PER,93.53413333,13.82962006,77.041,15,73.326,10,SOFT,2.548983333,1
2024,Canadian Grand Prix,PIA,91.00676471,13.10815024,79.008,17,72.103,26,SOFT,1.961066667,1
2024,Canadian Grand Prix,RIC,90.15965,12.52701258,76.731,20,72.178,24,SOFT,-0.155275974,1
2024,Canadian Grand Prix,RUS,90.01842105,13.99697819,76.273,19,71.742,19,SOFT,-1.200914286,1
2024,Canadian Grand Prix,SAI,91.60375,13.03893721,77.722,24,72.728,21,SOFT,1.615918931,1
2024,Canadian Grand Prix,SAR,89.05161111,10.75742604,77.496,18,72.736,21,SOFT,-0.714519481,1
2024,Canadian Grand Prix,STR,92.391375,16.65435165,76.464,24,72.659,16,SOFT,2.701948268,1
2024,Canadian Grand Prix,TSU,91.80078947,12.1055322,76.951,19,72.303,16,SOFT,0.997192208,1
2024,Canadian Grand Prix,VER,83.721,6.23668181,79.311,2,72,26,SOFT,,1
2024,Canadian Grand Prix,ZHO,97.51414286,17.86635746,79.087,14,74.292,10,SOFT,0.4354,1
2024,Dutch Grand Prix,ALB,87.34186667,17.98868254,71.55,30,70.653,17,SOFT,1.666703782,0
2024,Dutch Grand Prix,ALO,89.39080769,19.09338889,71.357,26,70.633,15,SOFT,0.665880592,0
2024,Dutch Grand Prix,BOT,85.08037931,12.37820185,72.206,29,72.168,8,SOFT,1.157060806,0
2024,Dutch Grand Prix,GAS,85.98893333,17.58171805,71.644,30,70.815,13,SOFT,0.096438142,0
2024,Dutch Grand Prix,HAM,90.1296,23.24839224,70.813,25,70.948,12,SOFT,-1.276739286,0
2024,Dutch Grand Prix,HUL,94.64685714,20.96029635,73.296,7,71.215,16,SOFT,,0
