season,race,driver,position,win,dnf
2023,Monaco Grand Prix,ZHO,13,0,1
2023,Qatar Grand Prix,ALB,13,0,1
2023,Qatar Grand Prix,ALO,6,0,1
2023,Qatar Grand Prix,BOT,8,0,1
2023,Qatar Grand Prix,GAS,10,0,1
2023,Qatar Grand Prix,HUL,16,0,1
2023,Qatar Grand Prix,LAW,17,0,1
2023,Qatar Grand Prix,LEC,5,0,1
2023,Qatar Grand Prix,MAG,14,0,1
2023,Qatar Grand Prix,NOR,3,0,1
2023,Qatar Grand Prix,OCO,7,0,1
2023,Qatar Grand Prix,PER,11,0,1
2023,Qatar Grand Prix,PIA,2,0,1
2023,Qatar Grand Prix,RUS,4,0,1
2023,Qatar Grand Prix,SAR,17,0,1
2023,Qatar Grand Prix,STR,9,0,1
2023,Qatar Grand Prix,TSU,15,0,1
2023,Qatar Grand Prix,VER,1,1,1
2023,Qatar Grand Prix,ZHO,12,0,1
2023,Saudi Arabian Grand Prix,ALB,19,0,1
2023,Saudi Arabian Grand Prix,ALO,3,0,1
2023,Saudi Arabian Grand Prix,BOT,18,0,1
2023,Saudi Arabian Grand Prix,DEV,14,0,1
2023,Saudi Arabian Grand Prix,GAS,9,0,1
2023,Saudi Arabian Grand Prix,HAM,5,0,1
2023,Saudi Arabian Grand Prix,HUL,12,0,1
2023,Saudi Arabian Grand Prix,LEC,7,0,1
2023,Saudi Arabian Grand Prix,MAG,10,0,1
2023,Saudi Arabian Grand Prix,NOR,17,0,1
2023,Saudi Arabian Grand Prix,OCO,8,0,1
2023,Saudi Arabian Grand Prix,PER,1,1,1
2023,Saudi Arabian Grand Prix,PIA,15,0,1
2023,Saudi Arabian Grand Prix,RUS,4,0,1
2023,Saudi Arabian Grand Prix,SAI,6,0,1
2023,Saudi Arabian Grand Prix,SAR,16,0,1
2023,Saudi Arabian Grand Prix,STR,10,0,1
2023,Saudi Arabian Grand Prix,TSU,11,0,1
2023,Saudi Arabian Grand Prix,VER,2,0,1
2023,Saudi Arabian Grand Prix,ZHO,13,0,1
2023,Singapore Grand Prix,ALB,11,0,1
2023,Singapore Grand Prix,ALO,15,0,1
2023,Singapore Grand Prix,BOT,15,0,1
2023,Singapore Grand Prix,GAS,6,0,1
2023,Singapore Grand Prix,HAM,3,0,1
2023,Singapore Grand Prix,HUL,13,0,1
2023,Singapore Grand Prix,LAW,9,0,1
2023,Singapore Grand Prix,LEC,4,0,1
2023,Singapore Grand Prix,MAG,10,0,1
2023,Singapore Grand Prix,NOR,2,0,1
2023,Singapore Grand Prix,OCO,6,0,1
2023,Singapore Grand Prix,PER,8,0,1
2023,Singapore Grand Prix,PIA,7,0,1
2023,Singapore Grand Prix,RUS,3,0,1
2023,Singapore Grand Prix,SAI,1,1,1
2023,Singapore Grand Prix,SAR,14,0,1
2023,Singapore Grand Prix,VER,5,0,1
2023,Singapore Grand Prix,ZHO,12,0,1
2023,Spanish Grand Prix,ALB,16,0,0
2023,Spanish Grand Prix,ALO,7,0,0
2023,Spanish Grand Prix,BOT,19,0,0
2023,Spanish Grand Prix,DEV,14,0,0
2023,Spanish Grand Prix,GAS,11,0,0
2023,Spanish Grand Prix,HAM,2,0,0
2023,Spanish Grand Prix,HUL,15,0,0
2023,Spanish Grand Prix,LEC,12,0,0
2023,Spanish Grand Prix,MAG,18,0,0
2023,Spanish Grand Prix,NOR,17,0,0
2023,Spanish Grand Prix,OCO,8,0,0
2023,Spanish Grand Prix,PER,4,0,0
2023,Spanish Grand Prix,PIA,13,0,0
2023,Spanish Grand Prix,RUS,3,0,0
2023,Spanish Grand Prix,SAI,5,0,0
2023,Spanish Grand Prix,SAR,20,0,0
2023,Spanish Grand Prix,STR,6,0,0
2023,Spanish Grand Prix,TSU,9,0,0
2023,Spanish Grand Prix,VER,1,1,0
2023,Spanish Grand Prix,ZHO,10,0,0
2023,São Paulo Grand Prix,ALO,3,0,1
2023,São Paulo Grand Prix,BOT,12,0,1
2023,São Paulo Grand Prix,GAS,7,0,1
2023,São Paulo Grand Prix,HAM,8,0,1
2023,São Paulo Grand Prix,HUL,12,0,1
2023,São Paulo Grand Prix,NOR,2,0,1
2023,São Paulo Grand Prix,OCO,10,0,1
2023,São Paulo Grand Prix,PER,4,0,1
2023,São Paulo Grand Prix,PIA,14,0,1
2023,São Paulo Grand Prix,RIC,13,0,1
2023,São Paulo Grand Prix,RUS,12,0,1
2023,São Paulo Grand Prix,SAI,6,0,1
2023,São Paulo Grand Prix,SAR,11,0,1
2023,São Paulo Grand Prix,STR,5,0,1
2023,São Paulo Grand Prix,TSU,9,0,1
2023,São Paulo Grand Prix,VER,1,1,1
2023,São Paulo Grand Prix,ZHO,14,0,1
2023,United States Grand Prix,ALB,11,0,1
2023,United States Grand Prix,ALO,11,0,0
2023,United States Grand Prix,BOT,14,0,1
2023,United States Grand Prix,GAS,8,0,1
2023,United States Grand Prix,HAM,2,0,0
2023,United States Grand Prix,HUL,13,0,1
2023,United States Grand Prix,LEC,6,0,0
2023,United States Grand Prix,MAG,16,0,0
2023,United States Grand Prix,NOR,3,0,0
2023,United States Grand Prix,OCO,20,0,0
2023,United States Grand Prix,PER,5,0,0
2023,United States Grand Prix,PIA,18,0,0
2023,United States Grand Prix,RIC,17,0,0
2023,United States Grand Prix,RUS,7,0,0
2023,United States Grand Prix,SAI,4,0,0
2023,United States Grand Prix,SAR,12,0,1
2023,United States Grand Prix,STR,9,0,1
2023,United States Grand Prix,TSU,10,0,1
2023,United States Grand Prix,VER,1,1,0
2023,United States Grand Prix,ZHO,15,0,0
